patient,Q01105_N,Q01105_C,Q01105.2_N,Q01105.2_C,Q01105.3_N,Q01105.3_C
26,9.2182480486619,15.051164057124,1.7311817652999,3.64682754243853,0.719253764813864,1.82872716266177
27,6.5208503059564,17.8783257814309,1.44180644013457,4.49017232006361,0.927616559421501,2.00132836137311
28,6.9115789487209,18.7111569506981,1.85057579427425,5.74367341666762,0.751294968524943,3.10836561308657
29,4.96147356003877,9.77632780343777,4.17847922791977,8.96357038579927,0,0
30,4.94244876211435,13.2262765221503,4.16650138280289,7.29976759697894,0,0
31,4.9661199850378,11.605426012393,3.54048375927821,5.46991772234674,0,0
32,3.6415535896422,9.09667605441917,2.78779277988851,7.16705909805291,0,0
35,3.27507925925096,6.53435888130882,3.47586166939178,16.6430899170335,0.628436131434229,0.867597924878834
37,4.14632357313981,9.45186929812869,1.219610825138,2.98687011824016,0,0
38,4.13366947747824,9.20341115720869,1.34075232673738,4.14766849253471,0,0
39,4.15153746105598,6.95032113951484,0.978601564304298,4.43733497975563,0,0
41,5.15567086770124,7.94027451252617,1.71037893704766,2.6291714116078,1.1139265417275,1.56787749685525
42,4.23085281697911,9.82303772728875,1.08128126486898,3.20175002766963,0.996191722314858,1.7875848019935
43,3.474100196071,14.7626105273451,1.10102593606985,6.27046675262698,0.700106110530473,3.00992226539334
44,2.25173710542924,8.55624019290159,0.591350668462898,2.5887041667506,0.426524441324068,1.69925775816905
45,4.33494581467473,7.35693603761387,4.46968940689977,14.3573129727707,0,0
46,3.49728260441023,20.013763023487,2.517161332348,27.0854429825378,0,0
47,5.28188857538647,9.62564800136523,4.79112389397279,10.1555396102413,0,0
50,3.3636674452758,4.15388826168179,2.02174875549356,3.93918706982801,0,0
51,4.66691122269288,5.66418136278949,3.63356522557248,4.30475354038046,0,0
52,3.27231952796724,7.73551814280049,2.92581748873667,5.00081559973484,0,0
53,1.63534242067907,2.6229683052775,2.01836842966402,3.68677043519695,0,0
54,1.35133897059525,3.05357177527621,1.32653210693949,5.45526327896726,0,0
55,1.93776436818723,2.87821441194698,1.55517398811721,6.6675338267998,0,0
56,1.44086324114106,1.82143834869159,1.53424893351942,2.98881891433986,0,0
57,1.12598248541051,4.40602954898727,1.85903376692844,5.91873328904638,0.86731008632129,1.7470120430284
58,1.40924913501366,3.5256275537507,1.99206210306699,4.46391074374132,0.883126536158725,2.22735605138237
59,1.57339031559318,2.86659225256976,1.93523481016488,3.96604932185847,0.846108245894837,1.76602279100945
60,1.26605485663608,2.01717519854725,2.25745700044167,3.80718566967703,0.828495145852428,1.61857891352823
61,1.86941334010286,3.95376482182188,0.708635225759153,1.58533789904078,0.357999992053054,0.547949886557343
62,1.75104162152325,5.38369590700931,0.456038235611912,1.87796191182099,0.274610698973652,1.77391534118227
63,1.89375164502769,5.65182950109241,0.55718023470106,2.07528974099271,0.383016978650529,2.88239711684792
64,2.44096375353946,5.27051739498709,0.503639875954401,1.66697129400645,0.662163397160556,1.56741791797957
65,2.89986305792625,9.66505784462979,3.18747869667412,13.4302593181201,0,0
66,2.9848769924753,7.46653309150237,2.86811093833197,10.1053494098411,0,0
67,3.51120123652383,6.80983805855101,3.32353879528767,7.90648951745509,0,0
68,2.7948954173898,6.15983989292535,2.51001073625016,4.66755921439239,0,0
69,7.1404086478921,13.1631532140681,2.29274414949976,4.52589269736329,0,0
70,9.1429611682326,18.0271231100915,2.52722135824763,4.48718224491933,0,0
71,5.22347946749185,16.9601749738533,2.06981509335104,4.42839887040331,0,0
72,3.36295977958532,12.2258096555711,1.14524667222828,6.09389708995547,0,0
73,6.81600635837241,6.37358888009569,1.60196205066776,2.0982520529007,0,0
74,4.53374072087958,11.8682194637605,1.21333758875301,2.60432301886812,0,0
75,2.46232547733965,8.6341655151069,0.530440475816837,2.64314739732045,0,0
76,3.6611638279313,12.5040646323409,1.38739010723367,2.64295627955966,0,0
77,3.10432981288189,6.13165887498134,1.87908388403434,4.69225417609182,0,0
78,2.77893223155836,5.22624228764292,1.86038349778775,4.5502918331822,0,0
79,2.68796572297812,4.09250672563468,1.52141940030642,3.74225143483303,0,0
80,2.15889084702811,3.55728406629803,1.6214908946362,2.7466673064911,0,0
81,7.98441363856282,12.9179472203363,1.63185518553184,14.6468692172668,0.926777619908667,1.26806738310067
82,9.56427060104954,18.0783669138924,1.66601357459962,7.48668490641518,0.66884968015256,1.62801762183256
83,7.30453600008055,31.598434078723,1.10629516876054,10.3525569651557,0.515185116337113,1.97907634870846
84,7.43495130433521,17.4032931717795,1.71897423081452,4.39761831273631,0.624930291327006,1.67833785925153
85,1.87041313852623,6.06742043755294,1.31048215809259,4.79468261744603,0,0
86,3.01892740813089,5.76427453497405,1.86215744458095,6.67260260228692,0,0
87,0.804284740508485,4.37167244761494,0.480164923099793,3.23581933868816,0,0
88,1.58159838224937,7.23622885782553,1.01767739242005,8.94740983950766,0,0
89,2.86914820562266,10.0014652691886,1.331383732699,9.89230097116707,0,0
90,2.42197729985109,7.74416558375806,1.21666763226678,5.75404270229282,0,0
91,2.99905532601984,7.31958347335307,1.62784171458294,7.64870956685635,0,0
92,3.91877557324784,8.19293286604438,1.98896572428083,4.87297958473927,0,0
93,2.87360711718068,4.58696439867665,1.31621082083588,2.3689696300403,0,0
94,2.86523309007009,5.1037523619185,1.08850356471504,1.95942816752641,0,0
95,1.54588593446383,5.19196263159381,0.481621716454624,2.00896373239303,0,0
96,3.37053006309852,5.87880567114956,1.34749027976735,2.54828403168529,0,0
97,6.17108053830717,8.98629195706823,1.54128742162899,4.57587277081999,0,0
98,7.45083970176772,13.0988248403587,2.05608281803511,3.96358133798786,0,0
99,7.33925777421297,28.3367887111627,2.18381843101057,4.56003954789788,0,0
100,7.68874851443244,16.3543233835931,1.95541346058698,5.95736113995995,0,0
