patient,Q03001.11_N,Q03001.11_C,Q03001.13_N,Q03001.13_C,Q03001.3_N,Q03001.3_C,Q03001.8_N,Q03001.8_C
75,0,0,0,0,0,0,0.242663132403953,0.587490182603574
76,0,0,0,0,0,0,1.09638228941685,0.947035146279207
77,0,0,0,0,4.51754173829062,5.21345823425674,0,0
78,0,0,0,0,5.38334383498809,7.52731143060849,0,0
79,0,0,0,0,4.68894981766159,5.13575224950122,0,0
80,0,0,0,0,3.64637494638318,5.04747137894943,0,0
81,0,0,0,0,1.70088860286383,0.993211717676761,0,0
82,0,0,0,0,0.76229873392656,2.09982549720919,0,0
83,0,0,0,0,0.946720956423807,1.75003403423225,0,0
84,0,0,0,0,0.586860311134763,0.892637467358077,0,0
85,0,0,0,0,0.719208485992209,1.39218736699888,2.38796312365956,2.58626264912784
86,0,0,0,0,0.886034225772742,2.14218057545227,2.185976160063,2.37154208006883
87,0,0,0,0,0.248563361507687,1.06277200144162,1.14255919417177,2.392550506281
88,0,0,0,0,0.524914109573907,2.34634352186063,1.95247223745858,3.87078589801114
89,0,0,0,0,0.885448989734823,1.81437891859595,0,0
90,0,0,0,0,0.967734255050354,1.73497337038778,0,0
91,0,0,0,0,1.25165504408171,1.34486694669565,0,0
92,0,0,0,0,1.22201739011386,2.26075691447806,0,0
93,0,0,0,0,1.64640296841216,2.44110475995513,0,0
94,0,0,0,0,1.27511502367643,2.25690376623263,0,0
95,0,0,0,0,0.872528120828099,3.24685063614094,0,0
96,0,0,0,0,1.10037453668689,4.21176285407453,0,0
97,0,0,0,0,0,0,0.661488613593679,0.458308183537785
98,0,0,0,0,0,0,1.40152312397484,0.95288816886302
99,0,0,0,0,0,0,1.51256891417955,1.06002068827791
100,0,0,0,0,0,0,1.13328007934246,0.980588471558106
