patient,Q32MZ4.3_N,Q32MZ4.3_C,Q32MZ4.4_N,Q32MZ4.4_C
39,1.18314181873412,1.72615739096875,8.05978222319435,7.07880886941198
40,0.678754526506648,2.13307541533069,4.88298080440109,8.82229095783867
41,4.20520663309598,3.70935835359619,6.54676996206354,5.93364875779709
42,1.57550893052376,2.49700672897893,5.40428372949628,4.94716369022437
43,1.25540518473356,1.54044955610034,5.30856676996923,5.20404040682145
44,0.659476979074681,3.79317271202028,4.11041443771877,5.75858431890542
45,0.82878324095267,1.22875014937172,7.40485757490012,6.77839965348503
46,0.46959711000193,1.90073904530789,4.68097102491057,5.63076370407593
47,0.825575196021657,1.89074722628207,8.21839126255948,8.23217498831599
48,0.314686227467851,0.843435457628988,4.03138677813473,6.44792901366687
50,1.36715966067448,2.0095504951706,4.65169338918348,5.28394859658184
51,2.03058135373433,2.9226856021758,7.73396631940219,6.14462110941452
52,1.01961545807734,2.1275301859352,5.06023455686694,6.82307010896341
53,0.777504219199841,0.955524669909659,5.16011862034603,7.19690891380841
54,0.427701280651246,0.655465104735431,4.20053414044764,3.6886651855688
55,0.563183758562494,0.942951454383004,3.78152030488187,4.93339585761315
56,1.17266951255832,0.900382209867964,4.39212742683825,4.00428970596276
57,0,0,2.6078444661138,2.42219880905291
58,0,0,2.83594449046413,2.19832057760982
59,0,0,1.94781452410655,1.77031823013736
60,0,0,2.27174584840597,5.38384617742656
61,0,0,7.22202913508109,9.90519554137987
62,0,0,7.66605246841284,10.5006722152327
63,0,0,7.73230759836137,8.72308173942959
64,0,0,8.56258172805286,9.69362564931881
65,0,0,3.0935411312635,3.46837651372998
66,0,0,3.5534168356288,4.31218668585306
67,0,0,4.21894692936556,4.34768180729754
68,0,0,3.03736830962863,3.76733999352823
69,1.04387031292111,1.22899953552116,9.11653083729691,6.74578931135017
70,1.18040702108505,1.59145645654256,10.8800588485643,6.94836244505105
71,0.881294118321683,1.48753935167929,11.6392546640592,8.33407509916589
72,0.463787853591683,1.29240376399888,6.63418822067919,8.628108356924
73,2.52206871190225,2.95481021206569,6.86303914093841,8.39302531458859
74,2.63254274792771,3.22962858560463,7.50783375975391,7.97696116878281
75,0.894127849074337,1.87858130769365,5.3960052856923,7.93584642261182
76,2.02429739009839,2.43773982368385,7.83457076705452,6.91325203535044
77,1.3584909063914,0.960291173087303,4.73587475652347,3.30788937504478
78,1.41283609302997,1.44230862626635,5.94715576381648,4.31843244843612
79,1.12486418906824,1.4672575974335,5.40839503975608,4.95525540680823
80,0.867282019118294,1.03942020700153,4.43079747623051,4.50612742841381
81,1.60170742493785,2.00126398450947,8.89633332753918,12.5119556968203
82,1.26634514247466,1.32672057276726,7.36000440213233,7.95028636379584
83,1.03330883056034,1.49037220309811,8.04565044834136,10.3733054261128
84,1.14014390896921,1.10055101357812,11.3173568043184,7.99883373877158
85,0.826766214536897,1.85530855873721,11.6543545674151,12.7218095507485
86,1.23254276724571,2.00877158192539,14.6714177506073,14.2705391947092
87,0.203380397133867,1.13374844663018,4.91167820557407,10.7012136149443
88,0.652299648343513,1.23855794399937,8.35064801456954,11.713636247212
89,0.956800588686944,2.51929279993733,4.3435016633866,6.23739064057451
90,1.00351163870796,1.73050862927163,4.21464971836236,5.73053477273516
91,1.61181220765179,1.76872525985962,5.00569145872602,5.28765111404969
92,1.56801648610791,2.27188254904001,5.94812800343149,6.96307670420679
93,0.985814203616137,1.14509097620427,8.67286313215509,5.16750007091892
94,0.868992993018475,1.28624887831018,7.65719862668242,7.98305936770395
95,0.401615233343304,2.03260378415188,5.95466432625424,6.42889288330191
96,0.777876776406647,1.45722304603224,6.62059509865342,5.73656095564798
97,1.69492799948104,3.08401515684115,2.61590099160341,2.57366936066092
98,2.53301568872795,3.27129131155944,2.88345696869457,2.83978197007532
99,2.49161764445711,7.33284773108145,3.39266748895419,3.40215284104015
100,2.06058582405912,4.09127092306816,2.61914521705588,2.99855499816217
