patient,Q8IXL7_N,Q8IXL7_C,Q8IXL7.2_N,Q8IXL7.2_C
60,1.14496686012039,0.85041537813848,3.59863713338309,2.19942301133869
61,2.13271043982645,2.96973986906105,2.95914918620486,2.51726777850731
62,1.48668345088915,1.91365286782751,2.61080324972857,3.75913839210715
63,1.77782422062824,3.83352898632251,2.98331430792583,4.37928494496635
64,1.94320908768928,4.99050093313613,3.41807999360191,6.81249494301721
65,1.17841561361888,1.78646934460888,1.95978370040615,4.8792412446679
66,1.09107720198613,1.23755574563315,1.95487002181081,1.57718124773909
67,0.965026171532474,0.68477559188548,2.36715210115413,2.98279730461162
68,1.29085502638671,1.24635131718391,2.7544304639597,1.62845049376884
69,2.45708614613015,1.75284283345719,2.96524722788159,2.57416710105807
70,2.37744664674004,2.30018554721749,3.95721958466385,3.18526453356228
71,2.64003918677665,3.80477516613952,3.89360470722014,4.35817104368319
72,0.691529513147223,2.71327071705812,1.30371710753756,4.76599908289732
73,1.42238690111713,1.30065041199188,3.86073040570862,2.20355066180114
74,1.59828742520744,1.3640137507413,3.12664959672643,1.08598977558264
75,0.354290838785576,1.38583075788185,0.741512714454737,2.01697860008186
76,1.14144170640335,1.28702984952292,2.75527066561741,1.31989892541594
77,4.36943168631033,1.74944448730985,3.57974525638893,1.65375760079046
78,3.70384369546366,3.16506731790163,3.52958578224624,2.0774753377984
79,2.82817113261498,3.46365337585633,3.51983551912504,2.61043551194542
80,2.59768452638749,2.03986240486823,3.3930910115271,2.36218605893787
81,2.67936511296913,1.8973834213072,4.66192034134887,3.52305538239663
82,1.92339613744448,2.88329600845595,3.36714687345132,5.26768050692389
83,1.99601178236949,3.52674015055277,3.82768320799048,6.37571114044006
84,2.85962871912197,1.94898911870557,6.71671122760834,4.11137539132404
85,1.9677779695723,2.16116130130952,2.13332265206584,2.30044821903925
86,2.57009645427944,2.22495811706938,3.75449705975442,2.01806803321753
87,0.393924789694428,4.65525064177522,0.542413981963123,2.99194004412607
88,1.08087727653434,1.33879413377807,2.37286604025016,1.80286876615249
89,1.64705886852422,3.37921610977091,1.03716386961471,1.06106437549301
90,1.4265500917245,2.33319813850817,0.674716949048467,1.1450845728375
91,1.78202211674697,1.77608918714309,1.19966369248646,0.618640505217018
92,3.48333332892289,2.22759456843992,2.14141447539334,1.02857669181101
93,2.75623313228665,2.09213525992776,2.94574165906218,2.28203404954628
94,1.89631175598806,2.60049408986856,2.47617046933684,3.04084048280285
95,0.899062540861886,2.06283512567052,0.878288648084617,1.89659681151408
96,1.34151941151306,1.48047726145578,1.66891741753739,1.1422699507765
97,1.54469909348026,1.07453483057561,0.940309875901018,0.565473359589805
98,2.67875260011704,2.22806620269644,1.63934197815263,0.766153303113621
99,2.40681082372808,2.43975331023838,1.38468826632979,1.18889797131604
100,1.18314541262037,1.96591946964846,0.996869658913577,1.02915768744891
