patient,Q8N490.2_N,Q8N490.2_C,Q8N490.3_N,Q8N490.3_C
30,1.23268354058073,0.935799604568702,1.05679289537518,1.05691985913705
31,0.90731874703835,1.26580499681367,1.39870630608958,3.49316734492045
32,0.942128684019891,1.4165917743754,1.69541393527521,1.01718020167191
33,0.398275255693824,1.08116840790217,1.15358621540993,2.35015238500107
35,0.903700387806301,5.34089710139164,1.98716614291518,3.08475806626164
37,1.8271957561893,3.33916496016264,0.870200777992918,1.38736255749182
38,1.24707738771917,1.54425229128857,0.463440728917729,1.50722754257738
39,1.52114058354963,2.00084050298099,0.432707682825428,0.876172367877847
40,1.37814827031533,2.5313340375413,0.530346375471709,0.942200010466272
41,2.13797054300687,1.77483988976134,0,0
42,2.69056899738105,3.98663657026721,0,0
43,1.2445128898047,1.77881696866614,0,0
44,1.57929297524706,2.13683657583951,0,0
45,0.807762177100187,0.986864381526698,0.629695013964819,1.73954738588398
46,0.428208801372055,1.07225252349115,0.651814726408557,0.635189942530747
47,0.803959006098759,1.4682270777829,0.758490539622985,2.2106552614816
48,0.455452352204978,0.971259902481663,0.347444683219118,0.990008329891712
51,1.18690403240497,2.40046917475247,0.700900075313499,1.26569338452545
52,1.14766135523728,2.6773347716987,0.557435759692005,0.982088027260327
53,1.73458815110653,1.82489404031199,0.925530700060013,1.77255642294675
54,1.67808985434507,2.2146899796851,0.78493071803955,0.983320334613768
55,1.43626028093753,5.62604909287012,0.612234832195034,1.26163142434381
56,1.31334966114499,2.3671356595805,0.87164311104308,1.34709982773659
57,1.72819667321052,2.91339673688794,1.13820952877194,1.62326993845052
58,1.73575907481434,1.68338648779411,1.0903621324128,0.978286709870714
59,1.45435997664122,1.81186506521185,0.993323997785521,1.42136972025922
60,1.87301203712589,3.40529930305704,1.24078386035757,0.623354609698114
62,1.80429815871087,19.5487322022593,1.06924544734023,3.37649688094477
63,2.00814391528644,4.39386190834011,1.56037411040066,2.63463138798214
64,2.3298821816702,6.67484313828998,1.82596542315691,2.34286020276599
65,1.63730449667169,2.55585275726772,0,0
66,1.66812001178281,4.43468344685137,0,0
67,2.1258237418408,2.44581129036483,0,0
68,1.50179863577757,2.13841424980327,0,0
69,1.05321373009255,1.12728699885521,0.40651190451777,1.02852162500256
70,1.32483673418357,1.11794820502729,0.505567746036954,0.801062280827677
71,0.891305789508588,1.28740545694316,0.399924532945061,1.02292721940816
72,0.482397080295145,2.13316967794751,0.310920575026147,0.812111642023665
73,1.24048869285164,1.34896205279003,1.60738286753244,1.7119028588489
74,0.915058111041098,0.975946929916684,1.25980933226439,4.22988738781563
75,0.505391024294616,2.76470279353077,1.1818166979917,2.70999350810292
76,0.623190156129665,0.986245886718476,1.06286367613731,2.83367630374966
77,2.624383488334,4.13136571334768,0.945501388685865,1.22089241338986
78,1.81901337010659,3.5911540778285,1.11081713199825,0.920373483408858
79,1.46821165961758,2.34772888750664,0.706457389270574,1.14871363835697
80,1.46023316224181,3.67946676317013,1.08804268381816,0.838064610437071
82,1.63032039623298,11.8163719909811,1.19146002177332,1.42799080682231
83,1.33321754562548,5.85502822347189,1.01538647635176,1.49768960928995
84,1.38648497694215,2.79138009289295,0.913366396516269,1.28607717430749
85,0.535255211655924,0.911293693218065,0.549828556068394,1.34469244991084
86,1.02391165665765,1.99265272003344,0.801944560998636,1.63083991136054
87,0.279811845105846,1.24560226431143,0.266333066715619,1.25303386919123
88,0.563438116397926,5.42584160085645,0.474332581558796,1.50046057117382
89,0.46070933334532,1.1205498108789,0.459782479420285,1.49499205695208
90,0.477621231905392,0.882207783743452,0.595338875060529,1.41662348253804
91,0.578582457023551,0.902600948864262,0.72834563727031,1.35778333743937
92,0.580589410566959,1.70307200985273,0.809331807022164,1.92237688275721
93,2.08176575074793,1.61748656322209,1.68732454303318,2.44245006865226
94,1.86349674701223,2.52735064298836,1.59257765356877,2.78537069447627
95,1.27792132254617,1.97167028099399,1.02059299492965,2.17994373264138
96,1.95899939653428,1.71236598306702,2.0796860636669,2.08984543657264
97,0.550064647130796,0.486745168820125,0,0
98,0.746554611639955,2.09310054581269,0,0
99,0.653783809581659,1.28238213830147,0,0
100,1.06192240608811,1.67372723249538,0,0
