patient,Q9H2G2_N,Q9H2G2_C,Q9H2G2.2_N,Q9H2G2.2_C
58,0.695057081982578,1.2420826831189,2.74548392137158,1.65094295590315
59,0.656058710135615,1.30232434547765,2.27645729959573,2.26913811197556
60,0.920263983032423,1.1878366822396,2.7427199863798,2.61252914415963
61,3.29420937306266,8.31568252777902,2.43438940183013,2.10970145244583
62,2.87981099556459,6.99130509454456,2.05784007247545,2.19937268198965
63,3.33813469408021,8.28326126067765,2.07876659672868,2.66966879008643
64,3.33429865584487,4.48822642945309,2.01684651330991,2.33919992531598
65,0.80435549347418,1.19902221834214,3.808232484187,4.2807421002149
66,0.825903356759352,1.61436116809987,4.05227922573203,4.05862732529978
67,0.848293683705094,1.24097952769654,4.28076836954417,3.93052390818481
68,0.660728971146711,2.03873586799948,3.78278576050763,3.04625651854316
69,0.798482388217731,1.51963260816044,1.36640437365693,1.74130956895462
70,0.849973601182895,0.574873733959694,1.260341612944,1.61534572114777
71,0.849828443266736,0.664821832889084,0.866380672481355,0.615484768044495
72,0.603395841368014,0.975872477347538,0.67157597016812,1.13235526482114
73,0.581824134849465,1.03740254537611,3.75745844141627,3.65551850118404
74,0.696588702967551,1.65417860774706,3.97642828004316,3.21208638389689
75,0.212619796000123,1.1733690795353,1.98702747666329,3.12170532501076
76,0.54319127299621,1.26401343564143,3.7597838387982,3.77632197206057
77,0.831613582819862,1.25387368611816,2.83116731162912,1.86080597606385
78,0.720205463936209,1.40954603117071,3.13302797914067,2.15977941043533
79,0.648615893439652,0.923755210221095,2.24101557815298,1.86649237227264
80,0.658622915911562,1.53055907937659,2.30617103515539,1.62686052516179
81,0.72309469760745,0.563570072513832,2.15074652097076,2.73948020663668
82,0.828979987575692,1.48199926847535,2.43407797287786,2.35783110538712
83,0.685119279157934,1.70544521402902,2.23040085340021,2.95216444367436
84,0.788153945298212,1.6538727263227,2.89565521663624,1.73794753727569
85,0,0,1.6997870696925,2.55462688111285
86,0,0,1.91655009998753,2.58049228779636
87,0,0,0.742047875208943,2.55276078945311
88,0,0,1.53183816880651,2.34197227665216
89,0.41922015399332,1.59932333892644,1.67950992274913,2.05228248761781
90,0.47432137872634,0.576083206573727,1.8376116812805,2.07528466202675
91,0.626232965861155,1.25023914441186,2.1877421792977,1.48291065263232
92,0.456334582634195,1.91949066160674,2.56518047208358,1.93638307425166
93,0.879263172791169,0.938519112536755,0.946654067519972,0.788459285753333
94,0.721996320581159,0.772777017783858,0.836799400238967,0.888739642798572
95,0.412830793905373,2.28633426105005,0.561440363605126,0.850489258186191
96,0.670605531707471,1.75061716747645,0.821196242122279,1.17425088441324
97,0.40249340544364,1.15542227265359,1.90017889376821,1.50442294433931
98,0.458857336536053,0.929889918802222,2.20297991690661,2.3590102510026
99,0.574756480348959,2.87100605667634,2.33843426999524,2.16332934578046
100,0.61213103641374,1.53732592581677,1.56215570251648,1.90918018852316
