patient,Q9NYL2_N,Q9NYL2_C,Q9NYL2.2_N,Q9NYL2.2_C
82,8.95601883824369,7.88351007057828,3.15585121845149,2.16615568039911
83,7.91408869657422,13.3335436192488,3.09081280299899,2.8040118822362
84,7.962737240986,10.503532517803,3.84641864007354,2.45665203299746
85,6.9357244214964,10.532694339208,2.5838104469951,2.30908349079663
86,9.89110032779333,22.0562436672651,2.22353532331266,2.53674600450668
87,3.17069260792667,9.02395451149351,1.19767912292065,2.00019968994434
88,6.01980726535949,26.0589409833183,1.84857761504258,1.8344803110132
89,4.05948645886174,12.9116486126544,2.41562321213338,2.38452464193675
90,4.56574632531791,10.5781873590294,3.3335754576834,2.51309263440229
92,5.79582731749444,9.83585269660128,3.65499674291019,2.15993177550112
93,4.68334592240964,3.38541814364708,5.23958172907969,3.66033987546023
94,3.96464016960275,4.25447330684285,4.94781114074283,4.92639583790853
95,2.57746771163402,4.29673845430682,3.64215469222679,4.58654311345668
96,4.2556981066831,5.40344712931105,4.00565496707326,4.00228709490812
97,6.75296798174393,6.48994476263126,5.35432252858374,5.06032146676307
98,6.49351461281204,8.73917802719199,6.85042118608293,5.91569650896417
99,7.97900490427441,11.3365856909112,6.40125469229354,8.25367103638575
100,8.24217630148855,12.792144860522,5.47846826250921,6.51217157023165
