patient,Q15149_N,Q15149_C,Q15149.4_N,Q15149.4_C,Q15149.5_N,Q15149.5_C,Q15149.6_N,Q15149.6_C,Q15149.8_N,Q15149.8_C,Q15149.9_N,Q15149.9_C
19,7.8334543969136,12.5884730967159,2.21355883270313,2.68033493535738,0,0,3.10545471600433,4.57732862415806,0.492012578170924,1.05094300870415,0,0
20,9.49257470691653,20.3367155325119,2.53385962311766,7.28483436361328,0,0,4.10635016406631,5.38071442453635,0.820300714604418,2.34808104988066,0,0
21,9.11009888965816,16.8992415453943,2.71116926346888,4.20511422106834,0,0,1.71567794071424,1.84329835588527,2.697308670072,2.61380299191033,0,0
22,9.64656477153078,12.4288709658816,2.70641102529934,2.77592085763505,0,0,2.17619445036022,1.98873259233312,2.98966826339218,3.84419618357436,0,0
23,15.8776057464635,13.0663971750182,4.32216832369685,2.91088707542841,0,0,1.8253694498782,2.01290013344417,3.01755663787311,3.05026585115779,0,0
24,11.8811335765586,21.0340703400098,3.48892416568326,5.28218600031083,0,0,1.54845049076147,1.97844981535265,2.5759488176758,3.56651063945591,0,0
25,8.39405613516701,13.8023384445321,2.3392066972301,1.62173797957914,1.19811996657901,1.43572720423552,1.12123556137779,1.57491448592787,7.23767355493,8.34307287572156,0,0
26,7.70169772671474,17.0072160217634,2.21334013141738,2.86981196457548,0.516112079389225,1.32510536439761,0.669473815539129,1.1912999178649,5.28717184029042,5.43110538880595,0,0
27,6.4724159633263,13.5090628773494,1.52221882933091,2.15597000842177,0.777331617120252,1.08593793303074,0.566586610939563,1.21482382541613,3.28584694147975,4.51275144929979,0,0
28,8.52829580879179,15.5090448563285,2.04944006395864,2.38440037283536,0.781230048509707,1.19361593368356,0.61728579894576,1.02400216254432,4.1898117594834,6.82854251191192,0,0
29,9.18359596085512,17.5985194466091,1.79131721743448,2.15394511561517,0,0,0.909481579319779,1.33641209491014,3.03678403164666,3.27447327906485,0,0
30,8.92162073448001,15.6502235494119,1.83256756960466,3.11529786910086,0,0,0.869715552620407,1.06159724515307,2.69303382633489,2.64929227425202,0,0
31,9.20909793437214,24.3868755695525,1.69823620249878,2.99252179873095,0,0,1.1007924902118,1.1288362658616,2.86515806472569,2.26951379340003,0,0
32,6.06478523313086,17.3572679233877,1.2111927897175,2.80846511965516,0,0,0.625321949148545,1.39824520024529,2.56144910889705,3.96598373621636,0,0
34,8.2628763143567,17.2520661333695,0.94056340350118,1.14248915540993,0.900505990101752,1.23401200518262,1.05247889305229,1.26498261633539,2.39708311292435,2.79077101455002,0,0
35,7.46018310437927,13.3461519002284,0.671596962484416,0.655260527752877,0.819127272964229,1.53166537969893,1.04070205475166,1.04449917774891,1.68307858685457,1.84374590486954,0,0
37,6.68832222732407,13.7501536390241,1.20012814483906,8.62278589377088,0,0,2.53264012601786,3.57479022699786,1.67670099993288,5.05037439460031,0,0
38,6.07375429713041,16.8719627174371,1.06178987117995,3.97282854020995,0,0,2.08189720264935,4.09440409950171,1.4122263747277,3.19626095164608,0,0
39,6.70009628478822,18.7478394184899,1.26570071116069,1.98802765872215,0,0,2.31482783851317,2.89608962014871,1.97200202400278,2.0714264399385,0,0
40,6.18340393559421,17.0313503723215,0.645216826034112,2.32718838381703,0,0,1.79454634646629,3.63666397900503,0.942954590698532,2.31292172211349,0,0
41,12.4323033341975,14.7882388445329,2.6382684026549,2.21033784770759,0,0,0.933672979669212,1.10752551096927,5.23288807059284,5.48047456178501,0,0
42,9.73951321255093,19.8929684208913,2.42557105220491,2.3076529485599,0,0,0.769015495551703,1.15457757674287,3.35181419111215,6.64958690841857,0,0
43,8.05869587083572,13.8924068895432,2.24797708083473,2.16260796509941,0,0,0.851367483937538,0.881011800135579,3.08972526024279,4.77146547564851,0,0
44,6.53363484617969,15.0394421795714,2.23355570230546,1.86605514865763,0,0,0.623198034710516,1.31979897176246,2.30788582673052,6.2072277001525,0,0
45,4.32146198212241,7.34814295707174,3.71392351197364,3.37691695797945,0,0,3.15464669776953,4.99670588421265,1.61512642972999,3.24800992135946,0,0
46,3.81221826446278,16.381972605582,3.46856939970671,6.58226919218063,0,0,2.48875427331761,4.30878474192761,0.952097002737952,0.916179098254144,0,0
47,5.44549696551903,9.51857680470858,3.92530336409005,3.97154656898944,0,0,4.25446992688299,6.27589874247636,2.19258584105783,5.12446009468063,0,0
48,3.28920794982897,8.55629122107373,3.64201020440292,3.77601907836187,0,0,2.8526423400367,4.69093223997726,1.02096270766737,1.70249109785403,0,0
49,3.47100856845286,7.93328435348114,1.54236651980891,2.60412625156137,0,0,0.413980305521983,0.989284688236809,0.749634677565259,1.20132397489365,0,0
50,3.55604824316449,5.3425258781263,1.72696009624028,1.98155222845781,0,0,0.484105971746151,0.602047462899487,0.785921053241976,0.962029661862193,0,0
51,4.9704953083284,6.20104270064503,3.07430835018742,2.57591902544846,0,0,1.46195339898159,1.09074270373086,1.07457216683754,1.21361968426864,0,0
52,3.0384167312209,7.61892651676069,1.71052582609291,2.55593042629827,0,0,1.10690297398506,1.49801371084385,1.04736202409504,1.31216860036277,0,0
53,7.05601854600913,13.695126295958,2.24412610946291,5.21007317156053,1.07756454026412,1.07050034140601,2.02633169092575,2.86430835738975,2.69550079831459,3.39744590315653,0,0
54,5.48782329085516,10.7587878833961,3.79000262265384,2.78234198593311,0.888323914401522,0.520985573780018,1.6820241038469,1.56961792358434,1.89556872910068,1.25797536959961,0,0
55,5.59820245611821,15.2955675127214,2.78767921016882,2.3819995533406,0.936897999506051,0.915527435968213,1.40558353148796,1.96780591613378,2.07141555168799,1.97298308647948,0,0
56,5.70988832671627,9.46898670628979,2.44345748971551,1.97420486940817,1.05309589876949,1.18143550331963,1.94841442731219,1.96283266339514,2.16223257838883,2.41849430907096,0,0
57,7.15111918783779,18.2391362783642,4.04500878193122,11.8259180983433,0,0,1.53439187011528,2.80808248385508,4.21222045206818,7.2767201257616,0,0
58,8.41383916384478,13.6284343898111,3.28918342897822,3.29849257578986,0,0,2.27811218120955,2.64458856721382,5.3249054432758,7.3962639743365,0,0
59,7.97027624075237,12.2782536236062,3.58574959271948,3.68326152781704,0,0,2.08790674901603,2.7419585818925,4.28173358623397,5.56200428103745,0,0
60,8.80392574278333,13.6913644414474,3.26010940934116,2.44532834968038,0,0,2.14147813308521,1.29863028828133,4.5476740614534,3.45760079787635,0,0
61,7.08887004771633,10.475341448482,7.58424208294039,5.70041521853286,0,0,1.88434428249643,2.2935618338044,2.48447339661181,3.83337648851112,0,0
62,5.18768096103672,10.9439920610061,2.61372286779047,4.1936936685319,0,0,2.12798199536238,2.97487888113029,2.23015707146601,1.67630554535786,0,0
63,5.33535317801612,14.9453640024148,2.40442140226602,6.28669347509899,0,0,2.10364911924384,3.62807715541832,2.25277301851224,3.29949301423092,0,0
64,6.15255572855236,17.8643353608236,3.02807919925343,6.43364170746781,0,0,2.02686003979265,3.56503495117904,1.9324236885889,1.72189656231038,0,0
65,7.00380571970513,10.4854568498799,0.764651030167116,2.3012588576647,0,0,2.09734844481501,2.58392791973265,1.11492779383,0.448052752419116,0,0
66,5.54135369716016,8.53685014731478,0.843426928841982,0.503088382057714,0,0,2.12586783889226,2.33088764828081,1.28746496279503,0.618141278076576,0,0
67,7.84205987191204,8.41400534892787,0.907171288643308,0.857606898863676,0,0,2.05816265764458,2.42231846680891,1.19876357916752,0.63925146414466,0,0
68,4.47213757994229,6.01777611276696,0.830148619957537,0.81628076340643,0,0,1.83747103117943,2.50207165427105,1.3524317908801,1.82037616922718,0,0
69,5.62665471230653,7.80962323391898,0.908690940115756,1.02998132220352,0.989896103267056,0.766864449880119,2.56390418233307,2.85478635815918,2.22236326735672,1.93472524074111,0,0
70,6.01434626532328,11.7478407531204,0.908215924550926,1.26346300182166,1.15513792351844,1.01944249352159,3.26840535813468,3.99477224851681,2.18599346999313,1.82571607601663,0,0
71,5.50083455975737,14.1113816612957,0.674416030622363,1.61570318444901,1.09296456855005,1.35723523285946,2.71493210625075,3.68417352139357,2.45671876159208,2.30334492390334,0,0
72,3.86262329022502,7.56301101307176,0.62688219152812,0.862448405469597,0.576600227652515,1.2196895207188,2.68745058872175,3.07206566093424,1.8254839560115,2.17831736818807,0,0
73,11.6417415613076,20.6160287463739,0.805919431070904,1.91460949342183,0,0,2.55266904213336,2.36193064182764,2.33330839549909,2.93432478606657,0,0
74,11.2044468566734,16.8559308673209,0.905205002280092,3.97682119675701,0,0,2.23394742515456,2.94724711299062,2.77246436953667,2.0155267182894,0,0
75,7.25164483472032,13.8403004288252,0.39221416100432,0.792511638412942,0,0,1.08662825358803,2.00215305827421,0.95882054713165,1.90115505498108,0,0
76,9.56972106031849,20.6608118256475,0.77825431619263,2.35419132030816,0,0,2.2972326034953,2.33177677434419,1.97622637941084,1.99828735874067,0,0
77,8.79025672382803,13.0542683621381,1.96310230878243,1.8649901931174,0,0,3.83446930436363,3.88683851425768,2.23746321446987,2.75709619638805,0,0
78,7.98912861014428,18.2409802664404,1.8468883452743,3.85430923945489,0,0,3.91662549617065,4.67823823496212,2.46318450875785,3.17127494569625,0,0
79,7.61811593860847,10.718515933202,1.32894858122558,1.49783119312978,0,0,2.8441326814053,3.60626407747042,2.11228255550973,2.38623038138476,0,0
80,7.49480099853389,11.3284229167887,1.40512537102869,1.88556154224198,0,0,2.89530091743207,3.05415150225465,1.83432707788444,2.37940837285338,0,0
81,11.2669329622508,13.1353769008517,2.49717495548442,2.35171667925036,0,0,1.14627816699918,0.763265748001052,3.01076035647586,3.01569428413229,1.20528075097856,1.63524022307666
82,8.97032252944622,11.3340900115257,2.36276377466165,1.16312957594951,0,0,0.87631420219923,0.986943812926275,2.75101778106793,2.7104047454825,1.68687865876892,2.09536469338506
83,7.25113047813187,14.7054230550411,2.09989151648462,2.13392879649982,0,0,1.34829490094186,1.19880295086531,3.24760788404081,3.48237652599966,0.705647349521401,3.18585680141328
