patient,Q9NQC3_N,Q9NQC3_C,Q9NQC3.2_N,Q9NQC3.2_C,Q9NQC3.5_N,Q9NQC3.5_C
35,0,0,4.2240828504868,3.40488465589605,1.86137381836767,0.884800937158418
37,0.554295016153435,0.851168689799118,3.02483844243903,2.86529453048121,0,0
38,0.412099846704649,2.49812500312083,2.60106120675014,3.86948516058458,0,0
41,0,0,2.95320939154373,2.46831919225352,0,0
42,0,0,2.5568956858326,3.80612089210013,0,0
43,0,0,2.33307335434433,1.67034544627779,0,0
44,0,0,2.12746570655828,1.86970455800515,0,0
45,0,0,2.30023437190993,2.22228617519928,1.83626546820712,0.636585979612649
46,0,0,2.59369406584334,5.08252833191107,2.25112024475416,0.600217206076472
47,0,0,3.05326802099491,4.256941554783,1.3354377011474,0.591528963017575
48,0,0,3.21158093464403,3.06244313356789,2.72109768534256,1.38450331769038
51,0,0,3.15737272980313,3.22679271635079,0.842039263309694,0.3326194349753
53,0,0,4.74470084561578,3.42366477184535,1.41779743103811,0.239707727942725
54,0,0,4.65810600003885,3.54354762558376,2.13521162349968,0.253180037902716
55,0,0,3.98671040354816,3.79987727505902,1.42021478205938,0.237292061486629
56,0,0,4.27806329861997,4.55943143092198,1.7334596757212,0.75778395451674
57,0,0,5.34325226288172,6.2425367012544,0.907617046006385,0.810334121468319
58,0,0,5.51594426877468,4.5777247638629,1.09886715546958,0.267289213696035
59,0,0,5.14584756783694,5.31306984189674,1.01811516323947,1.03416445750042
60,0,0,5.05990390584891,7.67618588104032,0.93546846265912,0.468219849856305
61,0,0,3.86598488210061,3.59145477414736,2.36706821059223,2.47304455130312
62,0,0,2.60556183582431,4.09795306988005,3.17834393684701,1.5610971809188
63,0,0,3.63819457105767,4.67834996479874,3.26540268606183,1.66218174125295
64,0,0,3.22186472446144,5.92732813680618,2.61559060356586,2.08940371510868
65,0,0,3.8475981434999,3.05088618273842,0,0
66,0,0,3.99430891824671,3.95248879049915,0,0
67,0,0,3.93479095810901,3.51034923966939,0,0
68,0,0,3.53968334538411,4.0081461211925,0,0
69,0,0,0.872813821645658,0.630199498082197,0,0
70,0,0,1.16618710811952,1.51205975359928,0,0
71,0,0,0.846994061416299,1.54026349389696,0,0
72,0,0,0.680849686236627,0.926630132161329,0,0
73,0,0,3.84650415874321,4.37374448747001,1.22259991764909,1.1889104523619
74,0,0,4.20584088221045,4.37410231830435,2.08688446901533,0.820567548379158
75,0,0,3.11423953266679,3.97276530288225,3.31896084823356,1.11366646247211
76,0,0,3.98077635034089,4.9573300758387,2.21301469511076,0.997401980508769
77,0,0,4.434030957743,3.6785583447896,0.700585305745238,0.480304119388681
78,0,0,4.98920998466794,5.23591140211186,1.02754530985265,0.384400403895193
79,0,0,3.84794093450623,4.09897429134777,0.848565829782136,0.421052181205182
80,0,0,3.98501298420368,4.27264802413927,0.976998511064332,0.332042922421317
81,0,0,4.55966177818414,5.70169366940612,1.70306680784663,2.40514954437477
82,0,0,4.13425028944067,4.39929169993465,2.92671524590141,1.67500810832061
83,0,0,3.72490562654997,4.25207230435019,1.99631447612535,1.51890371658798
84,0,0,4.81672393432543,4.53645600795455,2.29093661136202,1.81390032805663
85,0,0,5.69822310012116,7.24480930213783,1.19451411999406,1.37676584361955
86,0,0,5.37751557574859,5.33864913148112,1.56962726458045,1.0843597029645
87,0,0,3.70685065667343,3.9174180746518,0.42472879073768,0.646371942844534
88,0,0,4.08138332981386,6.92034431264814,0.677638126460747,1.09732911227095
91,0,0,2.73052801760762,3.4583345060453,1.24897593804938,0.884073383017504
93,0,0,0.711066449256127,0.581530216272926,0,0
94,0,0,0.89807616952966,0.838068332638125,0,0
95,0,0,0.524898562815214,0.890080012134542,0,0
96,0,0,0.998440205781604,1.29727099212519,0,0
97,0,0,3.37268196291963,1.94908077052224,0,0
98,0,0,2.75082544597553,2.54629596065827,0,0
99,0,0,2.49674648094697,2.08411353377735,0,0
100,0,0,3.13216578421936,3.81561240613659,0,0
