patient,Q16181_N,Q16181_C,Q16181.2_N,Q16181.2_C
40,0.846881701400818,2.19319846090516,0.678813597588582,1.45473193346164
41,4.9446724562821,5.39456072911505,2.15110637762899,2.55744969226029
42,3.71971325400299,6.36778549848599,1.54395123733163,3.41246379849518
43,3.1686039668671,5.08836222445242,1.20392551521433,3.02111757022805
44,2.57445781616456,5.5039670241506,0.724572595263741,3.49605973607325
45,1.59757622005675,1.96334269184127,3.22510397290058,4.04017521243804
46,0.876434918807256,2.60344644268917,1.91567550718197,4.06231224581513
47,2.04439798462954,4.56071338945657,3.89119375807343,7.43518646698437
49,0.440616197816159,1.09504860303724,1.2485709123897,2.87247317129325
50,0.720823195215208,0.542923493665424,1.79920005237456,2.36290480939017
51,1.42673586556556,1.16422552768156,3.31696824063119,4.04477876748733
52,1.04585226114993,1.65280291498364,2.5853619561511,6.76224585625339
53,2.00207439792402,2.0684923486399,6.54533231408929,6.27038300873723
54,1.37341051964584,2.09973930499868,5.12394699488355,6.48851852145262
55,1.74699289015207,2.26789526417332,4.61294236969659,7.13036960442228
56,1.41254307157964,2.18227922730295,5.75562904496273,7.99380847818368
57,2.13450333208982,2.61164736670894,3.45703916128193,5.90254812145031
58,2.2796666411841,2.20199209232318,3.45736649555092,3.79309951401334
59,1.85580135465623,1.75433894185247,3.13812080393136,3.56837951962052
60,1.98462730537459,1.61873120509372,3.27525629126158,3.20019007256242
61,1.61642030268148,2.04402887512665,2.78962954902192,3.6636064194439
62,1.11304624454541,2.40776374623261,1.97337006175721,5.69476068377696
63,1.3640101112448,2.56780371351678,2.62786882301264,4.77448269434063
64,2.26363704103508,1.87998628558105,2.38933617444156,4.4978649125808
65,1.2571170325708,1.17227738121438,7.08630297433069,8.46107666510028
66,1.16051197510717,1.2075154645882,9.1575631935184,9.38049138239661
67,1.38647698063691,1.35408612554104,10.3745301648376,14.6219482627263
68,0.926704288282901,1.01751661344551,8.29304231781694,10.894616489605
69,2.0356159657673,2.40599111356972,3.47562915717182,3.57451772518759
70,2.28474871537504,3.00434010377382,3.64464485705238,4.65314161760505
71,1.73545567142676,3.00801031732622,2.96967279874035,4.25777752959031
72,1.01156889184114,2.51216131152455,1.26810366651936,4.11583042116241
73,2.55739545723566,2.29192939853443,2.53904547472724,2.48143946502804
74,2.16220143938195,2.63615338747342,2.67459855709202,3.10676661544884
75,1.35370654642365,2.02368888544287,1.17939293958311,2.17988550926316
76,1.96564311468366,2.12279643618122,2.07516397791956,2.27307487666201
77,5.09028878058218,4.66398275135214,3.08004754420593,2.41053654718584
78,5.2432392246576,6.2331909586975,2.949171968534,2.75069618953058
79,4.47884870168818,6.47811820344561,2.27647764216997,3.03848520552504
80,3.69322866374717,4.75594410056541,2.02085348591301,2.37709509565549
81,2.69314697755591,3.12762982698052,4.17466977536618,5.56731314633244
82,2.29407211313332,3.39421968434095,4.15912108661414,5.53919309566803
83,1.7436090900517,3.04441410697578,3.80730289562457,6.28300700286374
84,2.62901097972653,2.27849083296144,4.77485650570579,4.10474695886974
85,1.31486251172856,2.71104603299955,1.47114323629714,3.0501743902475
86,2.21133582194855,3.63828019723649,2.22356638394928,3.10868728495338
87,0.557783898833677,2.08483718539263,0.461918035181609,2.30382024238082
88,1.33354237551921,2.64870547270925,1.53907738229697,2.40819996583023
89,1.51240647277829,3.74126008398707,0.785627876785082,1.6205495888902
90,1.47119957049535,3.02263975887246,0.82506687910618,1.05695542704276
91,1.76631351500213,2.45639967267395,0.625698296549825,0.787693260946536
92,2.22384550133513,3.14309984739255,0.842804594988001,0.967101380856839
93,3.90501392519155,4.65477416827352,3.82188051620281,3.94781153101929
94,3.56336185266968,4.55312017379278,3.32497680919922,4.28376793068732
95,1.90550906918625,4.79198227310279,2.03941029981661,4.05893557777386
96,3.10077137190334,4.46762143858921,2.9477507476286,4.21423604212842
97,5.01602910793586,2.81024115173772,1.63389842192294,2.26125844741755
98,4.11310132474404,3.9408308289177,2.49846265360631,2.33391329388988
99,4.49052437976339,5.25244127159808,1.90527188317465,4.05015993126452
100,4.33234969950721,4.9414217285063,1.92719568681812,3.30724930725366
